AS;Interatomic Distance (pm);CS;MI;nd;cn sur;Ed (eV);Edw (eV);Eu (eV);SE (J/m2);WF (eV);cn ADS;E;site
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;3;776;ads h
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;3;747;ads hE
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;4;728;abs top
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;6;887;abs hE
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;1;380;ads t
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;2;799;ads bL
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;5;583;ads h
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;5;805;abs bS
Zr;319.7;hcp;1120;2;7;2.41;10.86;0.08;1.64;3.38;3;808;ads h
Zr;319.7;hcp;1120;2;7;2.41;10.86;0.08;1.64;3.38;8;792;abs top
Zr;319.7;hcp;1120;2;7;2.41;10.86;0.08;1.64;3.38;6;930;abs bS
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;3;397;ads hE
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;4;421;abs top
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;4;438;abs h
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;6;461;abs hE
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;4;225;ads h
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;3;382;abs top
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;5;421;abs bS
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;5;413;abs bL
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;3;337;abs h
Zn;289.0;hcp;1120;10;7;-7.12;-2.35;-6.76;0.91;2.62;3;509;ads h
