AS;Interatomic Distance (pm);CS;MI;nd;cn sur;Ed (eV);Edw (eV);Eu (eV);SE (J/m2);WF (eV);cn ADS;MS Eads/abs;Eads top;Eads b;Eads bS;Eads bL;Eads h;Eads hE;Eads hT;Eads h fcc;Eads h hcp;Eabs top;Eabs b;Eabs bS;Eabs bL;Eabs h;Eabs hE;Eabs hT;Eabs h fcc;Eabs h hcp
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;6;887;;;;;776;747;;;;728;;;;;887;;;
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;5;805;380;;;799;583;;;;;;;805;;;;;;
Zr;319.7;hcp;1120;2;7;2.41;10.86;0.08;1.64;3.38;6;930;;;;;808;;;;;792;;930;;;;;;
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;6;461;;;;;;397;;;;421;;;;438;461;;;
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;5;421;;;;;225;;;;;382;;421;413;337;;;;
Zn;289.0;hcp;1120;10;7;-7.12;-2.35;-6.76;0.91;2.62;6;531;;;;;509;;;;;491;;531;;;;;;
Y;354.3;hcp;0001;1;9;3.80;12.27;5.51;1.00;3.74;6;831;;;;;739;;;;;736;;;;;831;;;
Y;354.3;hcp;1010;1;8;3.63;11.93;4.38;0.98;2.67;5;790;;;;724;616;;;;;670;;790;;;;;;
Y;354.3;hcp;1120;1;7;3.08;10.47;2.98;1.02;2.94;6;836;;;;;781;;;;;755;;836;;;;;;
Ti;288.4;hcp;0001;2;9;3.07;14.71;2.95;1.97;5.89;6;881;;;;;779;757;;;;702;;;;;881;;;
Ti;288.4;hcp;1010;2;8;2.96;14.51;3.20;2.00;3.74;2;830;;;;830;688;;;;;705;;812;;;;;;
Ti;288.4;hcp;1120;2;7;2.42;12.99;3.36;1.88;3.96;6;927;;;;;843;;;;;787;;927;;;;;;
Tc;272.2;hcp;0001;5;9;-0.50;6.15;-0.59;2.22;5.98;3;698;468;;;;698;684;;;;;;;;567;669;;;
Tc;272.2;hcp;1010;5;8;-0.68;5.35;2.13;3.43;3.80;2;781;594;;751;781;571;;;;;527;;608;;;;;;
Tc;272.2;hcp;1120;5;7;-0.84;5.73;1.21;2.69;4.67;3;690;;;607;;690;;;;;626;;664;;;;;;
Sc;321.4;hcp;0001;1;9;3.61;14.22;3.27;1.28;4.11;6;871;;;;;753;;;;;739;;;;;871;;;
Sc;321.4;hcp;1010;1;8;3.71;14.67;2.77;1.21;2.88;5;801;;;;752;665;;;;;688;;801;;;;;;
Sc;321.4;hcp;1120;1;7;3.16;13.07;2.36;1.26;3.14;6;882;;;;;841;;;;;794;;882;;;;;;
Ru;265.8;hcp;0001;7;9;-1.42;4.48;0.84;2.55;7.54;3;718;502;;;;718;654;;;;571;;;;;607;;;
Ru;265.8;hcp;1010;7;8;-1.29;4.83;0.88;2.87;4.88;2;716;555;;664;716;538;;;;;;;602;;;;;;
Ru;265.8;hcp;1120;7;7;-1.27;5.07;1.58;3.32;5.71;2;732;555;;666;732;729;;;;;643;;689;;;;;;
Re;275.5;hcp;0001;5;9;1.22;14.31;16.41;2.60;7.08;3;739;490;;;;732;739;;;;525;;600;;;701;;;
Re;275.5;hcp;1010;5;8;0.99;13.50;3.37;2.93;4.58;2;731;515;;694;731;491;;;;;;;;;;;;;
Re;275.5;hcp;1120;5;7;0.84;14.01;2.28;3.12;5.53;3;684;;;623;;684;;;;;591;;584;;;;;;
Os;269.4;hcp;0001;6;9;-0.43;12.06;2.18;2.91;7.80;3;721;490;;;;721;655;;;;502;;;;;508;;;
Os;269.4;hcp;1010;6;8;-0.35;11.95;1.34;3.32;5.12;2;699;576;;679;699;504;;;;;576;;513;;;;;;
Os;269.4;hcp;1120;6;7;-0.41;11.94;-0.10;4.02;5.93;3;716;582;;698;;716;;;;;615;;608;;;;;;
Hf;313.9;hcp;0001;2;9;2.91;11.88;5.70;1.71;5.38;6;896;;;;;790;756;;;;713;;;;;896;;;
Hf;313.9;hcp;1010;2;8;2.71;11.33;2.61;1.84;3.44;2;823;382;;;823;517;;;;;636;;816;;;;;;
Hf;313.9;hcp;1120;2;7;2.26;10.00;3.30;1.83;3.63;6;941;;;;;806;;;;;767;;941;;;;;;
